Process,DBN,School Name,Program Code,Program Name,Admissions Method for Students Entering in Fall 2020,Diversity In Admissions Priority for Students Entering in Fall 2020,Selection Criteria for Students Entering in Fall 2020
MS,13K915,I.S. 915,K915U,MS 915,Open,,
ES,14K016,P.S. 016 Leonard Dunkly,14K016KG,Kindergarten,Zoned,,
ES,14K017,P.S. 017 Henry D. Woodworth,14K017KG,Kindergarten,Zoned,,
ES,14K018,P.S. 018 Edward Bush,14K018KG,Kindergarten,Zoned,,
ES,14K018,P.S. 018 Edward Bush,14K018SP,Spanish Dual Language,Zoned,,
ES,14K023,P.S. 023 Carter G. Woodson,14K023KG,Kindergarten,Zoned,,
ES,14K031,P.S. 031 Samuel F. Dupont,14K031KG,Kindergarten,Zoned,,
ES,14K034,P.S. 034 Oliver H. Perry,14K034KG,Kindergarten,Zoned,,
ES,14K034,P.S. 034 Oliver H. Perry,14K034PL,Polish Dual Language,Zoned,,
MS,14K050,J.H.S. 050 John D. Wells,K050M,John D. Wells (M.S. 50) Spanish Dual Language Program,Screened: Language,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; ELL Status; Final 4th Grade Report Card; Home Language; Lateness
MS,14K050,J.H.S. 050 John D. Wells,K050S,John D. Wells (M.S. 50),Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
ES,14K059,P.S. 059 William Floyd,14K059KG,Kindergarten,Zoned,,
ES,14K059,P.S. 059 William Floyd,14K059SP,Spanish Dual Language,Zoned,,
MS,14K071,Juan Morel Campos Secondary School,K071S,Juan Morel Campos Secondary SchoolÃÂ¢ÃÂÃÂ,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Lateness
HS,14K071,Juan Morel Campos Secondary School,K11A,Visual Art and Design,Open,,
HS,14K071,Juan Morel Campos Secondary School,K11B,"Performing Arts (Dance, Music, and Theater)",Open,,
HS,14K071,Juan Morel Campos Secondary School,K11X,Juan Morel Campos Secondary School,Open,,
ES,14K084,P.S. 084 Jose De Diego,14K084KG,Kindergarten,Zoned,,
ES,14K084,P.S. 084 Jose De Diego,14K084SP,Spanish Dual Language,Zoned,,
MS,14K084,P.S. 084 Jose De Diego,K084L,P.S. 84 Jose de Diego Magnet School of Visual Arts and Sciences,Limited Unscreened,,
MS,14K084,P.S. 084 Jose De Diego,K084M,Spanish Dual Language Program,Screened: Language,,ELL Status; Home Language; On-Site Assessment
ES,14K110,P.S. 110 The Monitor,14K110FR,French Dual Language,Zoned,,
ES,14K110,P.S. 110 The Monitor,14K110KG,Kindergarten,Zoned,,
ES,14K120,P.S. 120 Carlos Tapia,14K120KG,Kindergarten,Zoned,,
MS,14K126,John Ericsson Middle School 126,K126U,The John Ericsson Magnet School for Environmental Engineering (M.S. 126),Open,,
ES,14K132,P.S. 132 The Conselyea School,14K132GTD,District Gifted & Talented,District G&T,,
ES,14K132,P.S. 132 The Conselyea School,14K132KG,Kindergarten,Zoned,,
ES,14K147,P.S. 147 Isaac Remsen,14K147JA,Japanese Dual Language,Zoned,,
ES,14K147,P.S. 147 Isaac Remsen,14K147KG,Kindergarten,Zoned,,
ES,14K157,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,14K157KG,Kindergarten,Zoned,,
MS,14K157,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,K157U,Magnet School for Civic Leadership in Health and Science,Open,,
ES,14K196,P.S. 196 Ten Eyck,14K196KG,Kindergarten,Zoned,,
ES,14K196,P.S. 196 Ten Eyck,14K196SP,Spanish Dual Language,Zoned,,
ES,14K250,P.S. 250 George H. Lindsay,14K250CH,Chinese Dual Language,Zoned,,
ES,14K250,P.S. 250 George H. Lindsay,14K250KG,Kindergarten,Zoned,,
ES,14K257,P.S. 257 John F. Hylan,14K257KG,Kindergarten,Zoned,,
ES,14K297,P.S. 297 Abraham Stockton,14K297KG,Kindergarten,Zoned,,
MS,14K318,I.S. 318 Eugenio Maria De Hostos,K318M,Eugenio Maria de Hostos (I.S. 318),Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Lateness
MS,14K318,I.S. 318 Eugenio Maria De Hostos,K318N,IS 318 Chess Program,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Lateness
ES,14K319,P.S. 319,14K319KG,Kindergarten,Zoned,,
ES,14K319,P.S. 319,14K319SP,Spanish Dual Language,Zoned,,
ES,14K380,P.S. 380 John Wayne Elementary,14K380KG,Kindergarten,Zoned,,
ES,14K380,P.S. 380 John Wayne Elementary,14K380SP,Spanish Dual Language,Zoned,,
ES,14K414,Brooklyn Arbor Elementary School,14K414KG,Kindergarten,Zoned,,
ES,14K414,Brooklyn Arbor Elementary School,14K414SP,Spanish Dual Language,Zoned,,
HS,14K449,"Brooklyn Latin School, The",K00S,Brooklyn Latin School,Test,,
HS,14K454,The Williamsburg High School of Art and Technology,L27A,Digital Media and Web Design,Ed. Opt.,,Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: Average
HS,14K454,The Williamsburg High School of Art and Technology,L27B,Liberal Arts and Technology,Screened,,Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: Average
HS,14K454,The Williamsburg High School of Art and Technology,L27C,Spanish Bilingual Computer Science and Technology,Screened: Language,,
HS,14K474,PROGRESS High School for Professional Careers,K87A,STEM Professional Careers,Ed. Opt.,,Attendance; Course Grades: Average; Honors Courses; Standardized Test Scores: Average
HS,14K474,PROGRESS High School for Professional Careers,K87B,Aspiring Teachers,Ed. Opt.,,Attendance; Course Grades: Average; Honors Courses; Standardized Test Scores: Average
HS,14K474,PROGRESS High School for Professional Careers,K87H,Instrumental Music and Art,Ed. Opt.,,Attendance; Course Grades: Average; Honors Courses; Standardized Test Scores: Average
HS,14K477,East Williamsburg Scholars Academy,K86A,Law Enforcement Academy,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,14K477,East Williamsburg Scholars Academy,K86B,Computer Forensics Program,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,14K477,East Williamsburg Scholars Academy,K86C,Instrumental Music,Open,,
HS,14K478,"The High School for Enterprise, Business and Technology",K88A,Computer Science/Networking,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Honors/Accelerated Coursework; Standardized Test Scores: English Language Arts, Math"
HS,14K478,"The High School for Enterprise, Business and Technology",K88B,Business & Finance,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Honors/Accelerated Coursework; Standardized Test Scores: English Language Arts, Math"
HS,14K478,"The High School for Enterprise, Business and Technology",K88C,International Baccalaureate Diploma Program,Screened,,Attendance; Course Grades: Average; Demonstrated Interest: School Visit; Honors/Accelerated Coursework; Standardized Test Scores: Average
HS,14K478,"The High School for Enterprise, Business and Technology",K88D,Music Major,Ed. Opt.,,We do not rank students for this program; all students will be selected randomly.
HS,14K488,Brooklyn Preparatory High School,K07X,Brooklyn Preparatory High School,Ed. Opt.,,Course Grades: Average
HS,14K558,Williamsburg High School for Architecture and Design,K09X,Architecture and Design,Open,"Priority to applicants eligible for free or reduced price lunch for 63% of seats: first to Brooklyn students or residents, and then to New York City residents",
HS,14K561,Williamsburg Preparatory School,K39X,Williamsburg Preparatory School,Ed. Opt.,Priority to applicants eligible for free or reduced price lunch for 76% of seats,"Attendance; Course Grades: Average; Standardized Test Scores: English Language Arts, Math"
MS,14K577,Conselyea Preparatory School,K577M,Conselyea Preparatory School,Screened,,Academic and Personal Behavior Scores; Attendance; Lateness
MS,14K582,M.S. 582,K582U,M.S. 582-The Magnet School for Multimedia Technology and Urban Planning,Open,,
MS,14K586,Lyons Community School,K586L,Lyons Community School,Limited Unscreened,,
HS,14K586,Lyons Community School,L39A,Lyons Community School,Ed. Opt.,,We do not rank students for this program; all students will be selected randomly.
HS,14K610,A-Tech High School,K60J,Academy of Automotive Specialists,Ed. Opt.,,"Attendance; Course Grades: English, Math; Standardized Test Scores: Average"
HS,14K610,A-Tech High School,K60N,Academy of Arts and Media,Ed. Opt.,,
HS,14K610,A-Tech High School,K60R,Academy of Software Engineering,Ed. Opt.,,"Attendance; Course Grades: English, Math; Punctuality; Standardized Test Scores: Average"
MS,14K614,Young Women's Leadership School of Brooklyn,K614M,The Young Women's Leadership School of Brooklyn,Screened,,4th Grade New York State ELA and Math Exams; Attendance; Final 4th Grade Report Card; Lateness
HS,14K614,Young Women's Leadership School of Brooklyn,L66A,The Young Women's Leadership School of Brooklyn,Screened,,Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: Average
HS,14K685,El Puente Academy for Peace and Justice,K75A,El Puente Academy for Peace and Justice,Ed. Opt.,,Attendance
ES,15K001,P.S. 001 The Bergen,15K001KG,Kindergarten,Zoned,,
ES,15K001,P.S. 001 The Bergen,15K001SP,Spanish Dual Language,Zoned,,
ES,15K010,"Magnet School of Math, Science and Design Technology",15K010KG,Kindergarten,Zoned,,
ES,15K015,P.S. 015 Patrick F. Daly,15K015KG,Kindergarten,Zoned,,
ES,15K015,P.S. 015 Patrick F. Daly,15K015SP,Spanish Dual Language,Zoned,,
ES,15K024,P.S. 024,15K024KG,Kindergarten,Zoned,,
ES,15K024,P.S. 024,15K024SP,Spanish Dual Language,Zoned,,
ES,15K029,P.S. 029 John M. Harrigan,15K029KG,Kindergarten,Zoned,,
ES,15K032,P.S. 032 Samuel Mills Sprole,15K032GTD,District Gifted & Talented,District G&T,,
ES,15K032,P.S. 032 Samuel Mills Sprole,15K032KG,Kindergarten,Zoned,,
ES,15K038,P.S. 038 The Pacific,15K038GTD,District Gifted & Talented,District G&T,,
ES,15K038,P.S. 038 The Pacific,15K038KG,Kindergarten,Zoned,,
ES,15K039,P.S. 039 Henry Bristow,15K039KG,Kindergarten,Zoned,,
MS,15K051,M.S. 51 William Alexander,K051M,William Alexander Middle School (M.S. 51),Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
ES,15K058,P.S. 058 The Carroll,15K058FR,French Dual Language,Zoned,,
ES,15K058,P.S. 058 The Carroll,15K058KG,Kindergarten,Zoned,,
MS,15K088,J.H.S. 088 Peter Rouget,K088M,Spanish Dual Language Program,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
MS,15K088,J.H.S. 088 Peter Rouget,K088S,Park Slope Education Complex at M.S. 88,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
ES,15K094,P.S. 094 The Henry Longfellow,15K094CH,Chinese Dual Language,Zoned,,
ES,15K094,P.S. 094 The Henry Longfellow,15K094KG,Kindergarten,Zoned,,
ES,15K094,P.S. 094 The Henry Longfellow,15K094SP,Spanish Dual Language,Zoned,,
ES,15K107,P.S. 107 John W. Kimball,15K107KG,Kindergarten,Zoned,,
ES,15K118,The Maurice Sendak Community School,15K118KG,Kindergarten,Zoned,,
ES,15K124,P.S. 124 Silas B. Dutcher,15K124KG,Kindergarten,Zoned,,
ES,15K124,P.S. 124 Silas B. Dutcher,15K124SP,Spanish Dual Language,Zoned,,
ES,15K130,P.S. 130 The Parkside,15K130KG,Kindergarten,Zoned,,
ES,15K131,P.S. 131 Brooklyn,15K131KG,Kindergarten,Zoned,,
MS,15K136,I.S. 136 Charles O. Dewey,K136M,Spanish Dual Language Program,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
MS,15K136,I.S. 136 Charles O. Dewey,K136N,French Dual Language Program,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
MS,15K136,I.S. 136 Charles O. Dewey,K136S,Charles O. Dewey Middle School (I.S. 136),Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
ES,15K146,"The Brooklyn New School, P.S. 146",15K146KG,Kindergarten,Non-Zoned,Priority to applicants eligible for free or reduced price lunch (based on family income) after siblings and current Pre-K students are admitted,
ES,15K154,The Windsor Terrace School,15K154KG,Kindergarten,Zoned,,
ES,15K169,P.S. 169 Sunset Park,15K169CH,Chinese Dual Language,Zoned,,
ES,15K169,P.S. 169 Sunset Park,15K169KG,Kindergarten,Zoned,,
ES,15K169,P.S. 169 Sunset Park,15K169SP,Spanish Dual Language,Zoned,,
ES,15K230,P.S. 230 Doris L. Cohen,15K230GTD,District Gifted & Talented,District G&T,,
ES,15K230,P.S. 230 Doris L. Cohen,15K230KG,Kindergarten,Zoned,,
ES,15K230,P.S. 230 Doris L. Cohen,15K230SP,Spanish Dual Language,Zoned,,
ES,15K261,P.S. 261 Philip Livingston,15K261KG,Kindergarten,Zoned,,
ES,15K295,P.S. 295,15K295KG,Kindergarten,Zoned,,
ES,15K321,P.S. 321 William Penn,15K321KG,Kindergarten,Zoned,,
ES,15K418,P.S. 372 -The Children's School,15K418KG,Kindergarten,Non-Zoned,"Priority to applicants eligible for Free or Reduced Price Lunch (based on family income), who are English Language Learners, and/or living in public housing after siblings and current pre-K students are admitted.",
HS,15K423,Brooklyn Frontiers High School,L69A,Brooklyn Frontiers High School,Transfer,,
HS,15K429,Digital Arts and Cinema Technology High School,K79A,Digital Cinema Production and Digital Arts,Screened,,Attendance; Course Grades: English; Demonstrated Interest; Punctuality; Standardized Test Scores: English Language Arts
MS,15K442,M.S. 442 Carroll Gardens School for Innovation,K442S,M.S. 442 School for Innovation,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
MS,15K443,New Voices School of Academic & Creative Arts,K443M,New Voices School of Academic & Creative Arts,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
MS,15K447,The Math & Science Exploratory School,K447M,The Math & Science Exploratory School,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
HS,15K448,Brooklyn Collaborative Studies,K03R,Brooklyn Collaborative Studies,Ed. Opt.,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",Attendance; Punctuality
MS,15K448,Brooklyn Collaborative Studies,K448S,Brooklyn Collaborative Studies,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
HS,15K462,John Jay School for Law,K22A,John Jay School for Law,Ed. Opt.,,Attendance; Course Grades: Average; Standardized Test Scores: Average
HS,15K463,Cyberarts Studio Academy,K29A,CYBERaRTS Studio Academy,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Punctuality"
HS,15K464,Park Slope Collegiate,K27A,College Preparatory,Ed. Opt.,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
MS,15K464,Park Slope Collegiate,K464S,Park Slope Collegiate,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
HS,15K497,The Boerum Hill School for International Studies,K21A,International Baccalaureate,Screened,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",Attendance; Course Grades: English; Punctuality; Standardized Test Scores: English Language Arts
HS,15K497,The Boerum Hill School for International Studies,K21B,"College, Career & Culinary",Screened,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",Attendance; Course Grades: English; Punctuality; Standardized Test Scores: English Language Arts
MS,15K497,The Boerum Hill School for International Studies,K497M,Boerum Hill School for International Studies French Dual Language Program,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
HS,16K498,Brooklyn High School for Law and Technology,K49D,Computer Technology,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Punctuality; Standardized Test Scores: English Language Arts, Math"
MS,15K497,The Boerum Hill School for International Studies,K497S,Boerum Hill School for International Studies,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
ES,15K516,Sunset Park Avenues Elementary School,15K516KG,Kindergarten,Zoned,,
ES,15K516,Sunset Park Avenues Elementary School,15K516SP,Spanish Dual Language,Zoned,,
HS,15K519,Cobble Hill School of American Studies,K91A,Biomedical Sciences/Health Careers,Ed. Opt.,,
HS,15K519,Cobble Hill School of American Studies,K91B,Pre-Law Institute/American Studies,Ed. Opt.,,
HS,15K592,Khalil Gibran International Academy,L61A,Khalil Gibran International Academy,Ed. Opt.,,Attendance and Punctuality; Course Grades: Average; Standardized Test Scores: Average
HS,15K656,Brooklyn High School of the Arts,K47J,Visual Arts,Audition,,Audition
HS,15K656,Brooklyn High School of the Arts,K47K,Instrumental Music,Audition,,Audition
HS,15K656,Brooklyn High School of the Arts,K47L,Dance,Audition,,Audition
HS,15K656,Brooklyn High School of the Arts,K47M,Vocal Music,Audition,,Audition
HS,15K656,Brooklyn High School of the Arts,K47R,Drama,Audition,,Audition
HS,15K667,Sunset Park High School,L58A,Sunset Park High School,Open,,
ES,15K676,Red Hook Neighborhood School,15K676KG,Kindergarten,Zoned,,
HS,15K684,Millennium Brooklyn HS,L63A,Millennium Brooklyn,Screened,"Priority to applicants eligible for free or reduced price lunch for 66% of seats: first to Brooklyn students or residents, and then to New York City residents",Attendance; Course Grades: Average; Standardized Test Scores: Average
MS,15K821,Sunset Park Prep,K821S,Sunset Park Preparatory,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
MS,15K839,M.S. 839,K839U,M.S. 839,Open,"As part of a district-wide plan to increase middle school diversity, all District 15 middle schools:
-Use an open admissions method. These schools do not screen students based on their academic records.
-Give priority to the following applicants for 52% of seats at each school: students from low-income families, students in temporary housing, and English Language Learners.",
ES,15K896,The School of Creativity and Innovation,15K896CH,Chinese Dual Language,Non-Zoned,,
ES,15K896,The School of Creativity and Innovation,15K896KG,Kindergarten,Non-Zoned,,
ES,15K896,The School of Creativity and Innovation,15K896SP,Spanish Dual Language,Non-Zoned,,
ES,16K005,P.S. 005 Dr. Ronald McNair,16K005KG,Kindergarten,Zoned,,
ES,16K021,P.S. 021 Crispus Attucks,16K021KG,Kindergarten,Zoned,,
ES,16K025,P.S. 025 Eubie Blake School,16K025KG,Kindergarten,Zoned,,
ES,16K026,P.S. 026 Jesse Owens,16K026KG,Kindergarten,Zoned,,
ES,16K028,P.S. 028 The Warren Prep Academy,16K028KG,Kindergarten,Zoned,,
MS,16K035,M.S. 035 Stephen Decatur,K035U,Stephen Decatur Middle School 35,Open,,
ES,16K040,P.S. 040 George W. Carver,16K040KG,Kindergarten,Zoned,,
MS,16K057,Whitelaw Reid Academy of Arts and Business,K057U,Ron Brown Academy (M.S. 57),Open,,
ES,16K081,P.S. 081 Thaddeus Stevens,16K081KG,Kindergarten,Zoned,,
ES,16K243,P.S. 243K- The Weeksville School,16K243KG,Kindergarten,Zoned,,
ES,16K262,P.S. 262 El Hajj Malik El Shabazz Elementary School,16K262KG,Kindergarten,Zoned,,
MS,16K267,"M.S. 267 Math, Science & Technology",K267A,"The Math, Science & Technology Institute (M.S. 267) Gifted and Talented Program",Composite Score,,4th Grade New York State ELA Exam; 4th Grade New York State Math Exam; Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card
MS,16K267,"M.S. 267 Math, Science & Technology",K267U,"The Math, Science & Technology Institute (M.S. 267)",Open,,
ES,16K308,P.S. 308 Clara Cardwell,16K308KG,Kindergarten,Zoned,,
MS,16K308,P.S. 308 Clara Cardwell,K308U,The Clara Cardwell Elementary and Middle School (P.S./M.S. 308),Open,,
ES,16K309,P.S. 309 The George E. Wibecan Preparatory Academy,16K309KG,Kindergarten,Zoned,,
ES,16K335,P.S. 335 Granville T. Woods,16K335KG,Kindergarten,Zoned,,
HS,16K455,Boys and Girls High School,K10A,Brooklyn STEAM Center,Screened,,Attendance; Course Grades: Average; Standardized Test Scores: Average
HS,16K455,Boys and Girls High School,K10E,Smart Scholars Early College Program,Screened,,Attendance; Course Grades: Average; Standardized Test Scores: Average
HS,16K455,Boys and Girls High School,K10S,Institute for Career & Technical Education,Screened,,Attendance; Course Grades: Average; Standardized Test Scores: Average
HS,16K455,Boys and Girls High School,K10Z,Zoned,Zoned Guarantee,,
HS,16K498,Brooklyn High School for Law and Technology,K49B,Academy for Social Justice,Screened,,Attendance; Course Grades: English; Punctuality; Standardized Test Scores: English Language Arts
ES,16K627,Brighter Choice Community School,16K627KG,Kindergarten,Zoned,,
ES,16K627,Brighter Choice Community School,16K627SP,Spanish Dual Language,Zoned,,
ES,16K628,Brooklyn Brownstone School,16K628KG,Kindergarten,Non-Zoned,,
MS,16K681,Madiba Prep Middle School,K681U,Madiba Prep School of Social Justice and Innovation,Open,,
HS,16K688,The Brooklyn Academy of Global Finance,L57A,Brooklyn Academy of Global Finance,Ed. Opt.,,
HS,16K765,Nelson Mandela High School,K15A,Nelson Mandela School for Social Justice,Open,,
MS,16K898,The Brooklyn Green School,K898U,M.S.898,Open,,
MS,17K002,Parkside Preparatory Academy,K002A,The Leadership Program,Composite Score,,4th Grade New York State ELA Exam; 4th Grade New York State Math Exam; Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card
MS,17K002,Parkside Preparatory Academy,K002U,Parkside Preparatory Academy,Open,,
ES,17K006,Norma Adams Clemons Academy,17K006KG,Kindergarten,Zoned,,
ES,17K012,Dr. Jacqueline Peek-Davis School,17K012KG,Kindergarten,Zoned,,
MS,17K061,M.S. 061 Dr. Gladstone H. Atwell,K061A,Britou-Moore Academy,Composite Score,,4th Grade New York State ELA Exam; 4th Grade New York State Math Exam; Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card
MS,17K061,M.S. 061 Dr. Gladstone H. Atwell,K061M,Medgar Evers Academy,Screened,,4th Grade New York State ELA and Math Exams; Attendance
MS,17K061,M.S. 061 Dr. Gladstone H. Atwell,K061U,Dr. Gladstone H. Atwell,Open,,
ES,17K091,P.S. 091 The Albany Avenue School,17K091KG,Kindergarten,Zoned,,
ES,17K092,P.S. 092 Adrian Hegeman,17K092KG,Kindergarten,Zoned,,
HS,17K122,Pathways in Technology Early College High School (P-Tech),L67A,Pathways in Technology Early College High School,Ed. Opt.,,"Attendance; Course Grades: Average, English, Math; Standardized Test Scores: English Language Arts, Math"
ES,17K138,P.S. 138 Brooklyn,17K138KG,Kindergarten,Zoned,,
MS,17K138,P.S. 138 Brooklyn,K138U,P.S. 138,Open,,
ES,17K161,P.S. 161 The Crown,17K161KG,Kindergarten,Zoned,,
ES,17K181,P.S. 181 Brooklyn,17K181KG,Kindergarten,Zoned,,
MS,17K181,P.S. 181 Brooklyn,K181U,P.S. 181,Open,,
ES,17K189,P.S. 189 The Bilingual Center,17K189HA,Haitian-Creole Dual Language,Zoned,,
ES,17K189,P.S. 189 The Bilingual Center,17K189KG,Kindergarten,Zoned,,
ES,17K189,P.S. 189 The Bilingual Center,17K189SP,Spanish Dual Language,Zoned,,
MS,17K189,P.S. 189 The Bilingual Center,K189S,P.S. 189,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; ELL Status; Home Language; Lateness
ES,17K191,P.S. 191 Paul Robeson,17K191KG,Kindergarten,Zoned,,
ES,17K221,P.S. 221 Toussaint L'Ouverture,17K221KG,Kindergarten,Zoned,,
ES,17K241,P.S. 241 Emma L. Johnston,17K241KG,Kindergarten,Zoned,,
MS,17K246,M.S. 246 Walt Whitman,K246A,Whitman STEAM Academy,Composite Score,,4th Grade New York State ELA Exam; 4th Grade New York State Math Exam; Academic and Personal Behaviors; Final 4th Grade Report Card
MS,17K246,M.S. 246 Walt Whitman,K246U,Walt Whitman (I.S. 246),Open,,
ES,17K249,P.S. 249 The Caton,17K249KG,Kindergarten,Zoned,,
ES,17K249,P.S. 249 The Caton,17K249SP,Spanish Dual Language,Zoned,,
ES,17K289,P.S. 289 George V. Brower,17K289KG,Kindergarten,Zoned,,
ES,17K316,P.S. 316 Elijah Stroud,17K316GTD,District Gifted & Talented,District G&T,,
ES,17K316,P.S. 316 Elijah Stroud,17K316KG,Kindergarten,Zoned,,
ES,17K316,P.S. 316 Elijah Stroud,17K316SP,Spanish Dual Language,Zoned,,
MS,17K340,I.S. 340,K340A,North Star Academy,Composite Score,,4th Grade New York State ELA Exam; 4th Grade New York State Math Exam; Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card
MS,17K340,I.S. 340,K340L,North Star Academy,Limited Unscreened,,
MS,17K352,Ebbets Field Middle School,K352U,Ebbets Field Middle School (M.S. 352),Open,,
MS,17K353,Elijah Stroud Middle School,K353U,Elijah Stroud Middle School,Open,,
MS,17K354,The School of Integrated Learning,K354A,Integrated Learning Academy,Composite Score,,4th Grade New York State ELA Exam; 4th Grade New York State Math Exam; Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card
MS,17K354,The School of Integrated Learning,K354U,School of Integrated Learning,Open,,
ES,17K375,P.S. 375 Jackie Robinson School,17K375KG,Kindergarten,Zoned,,
MS,17K382,Academy for College Preparation and Career Exploration: A College Board School,K382L,Academy for College Preparation and Career Exploration,Limited Unscreened,,
HS,17K382,Academy for College Preparation and Career Exploration: A College Board School,L21A,Academy for College Preparation and Career Exploration,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Standardized Test Scores: English Language Arts, Math"
ES,17K394,M.S. K394,17K394KG,Kindergarten,Non-Zoned,,
